"var","nut_add","k","estimate","SE","estimate_se","zval","pval","ci.lb","ci.ub","ci_range","int_type"
"rootshoot","int",46,0.047,0.12,"0.047±0.120",0.395,0.693,-0.188,0.282,"[-0.188, 0.282]","additive"
"rmf","int",37,0.128,0.139,"0.128±0.139",0.92,0.358,-0.145,0.401,"[-0.145, 0.401]","additive"
"bnpp","int",54,0.057,0.096,"0.057±0.096",0.587,0.557,-0.132,0.246,"[-0.132, 0.246]","additive"
"anpp","int",112,0.236,0.074,"0.236±0.074",3.173,0.002,0.09,0.382,"[0.090, 0.382]","synergistic"
"tbio_gm2","int",33,0.222,0.151,"0.222±0.151",1.475,0.14,-0.073,0.518,"[-0.073, 0.518]","additive"
"tla","int",14,-0.052,0.201,"-0.052±0.201",-0.26,0.795,-0.447,0.342,"[-0.447, 0.342]","additive"
"leaf_ppue","int",64,-0.102,0.181,"-0.102±0.181",-0.563,0.573,-0.455,0.252,"[-0.455, 0.252]","additive"
"leaf_pnue","int",65,0.058,0.289,"0.058±0.289",0.203,0.839,-0.507,0.624,"[-0.507, 0.624]","additive"
"jmax_vcmax","int",32,0.087,0.115,"0.087±0.115",0.761,0.447,-0.138,0.313,"[-0.138, 0.313]","additive"
"jmax","int",39,0.194,0.11,"0.194±0.110",1.768,0.077,-0.021,0.41,"[-0.021, 0.41]","marg_syn"
"vcmax","int",42,0.036,0.207,"0.036±0.207",0.175,0.861,-0.37,0.442,"[-0.370, 0.442]","additive"
"gsw","int",46,-0.211,0.193,"-0.211±0.193",-1.097,0.273,-0.589,0.166,"[-0.589, 0.166]","additive"
"rd","int",32,0.167,0.117,"0.167±0.117",1.422,0.155,-0.063,0.396,"[-0.063, 0.396]","additive"
"asat","int",94,0.041,0.165,"0.041±0.165",0.249,0.803,-0.283,0.365,"[-0.283, 0.365]","additive"
"leaf_np","int",123,-0.335,0.121,"-0.335±0.121",-2.764,0.006,-0.573,-0.097,"[-0.573, -0.097]","synergistic"
"leaf_p_area","int",79,-0.15,0.091,"-0.150±0.091",-1.649,0.099,-0.329,0.028,"[-0.329, 0.028]","additive"
"leaf_p_mass","int",139,-0.085,0.066,"-0.085±0.066",-1.289,0.197,-0.213,0.044,"[-0.213, 0.044]","synergistic"
"leaf_n_area","int",86,-0.045,0.127,"-0.045±0.127",-0.359,0.72,-0.294,0.203,"[-0.294, 0.203]","additive"
"leaf_n_mass","int",147,0.035,0.061,"0.035±0.061",0.571,0.568,-0.085,0.155,"[-0.085, 0.155]","additive"
"lma","int",116,-0.081,0.07,"-0.081±0.070",-1.148,0.251,-0.219,0.057,"[-0.219, 0.057]","additive"
